kod-av,rozmiar,producent,ean,seria,styl,typ lampy,materiał,kolor ,źródło światła,model żarówki,moc źródła światła ,oprawa żarówki,barwa światła,ilość źródeł światła,napięcie robocze / sieciowe,średnica abażuru,szerokość całkowita,wysokość całkowita,możliwość ściemniania,ściemniacz,stopień ochrony,klasa ochrony,klasa efektywności energetycznej,strumień świetlny,żarówka w komplecie,cct,regulowana wysokość zawieszenia,wysokość abażuru,wysokość opakowania,szerokość opakowania ,szerokość,wysokość,waga brutto,średnica całkowita,ceny promocyjne,odległość od ściany,wysokość (cm),wysokość zawieszenia,dlugosc opakowania ,kształt podsufitki,szerokość abażuru,długość opakowania,średnica ,alt - ikona produktu,alt - zdjęcia w galerii produktu,podsufitka,grubość abażuru,model,szerokość (cm),kierunek padania światła,kierunek wycięcia,rozmiar rozety,waga gabarytowa eu,średnica podsufitki,wysokość podsufitki,średnica podstawy,długość przewodu ,sposób podłączenia,wysokość minimalna,waga gabarytowa pl,kolor żarówki,żywotność ,waga,kąt wiązki światła,czas rozświetlenia produktu,warunki pracy żarówki,promieniowanie uv,drganie światła,średnica rozety ,kompatybilna z typem ściemniacza,kod_producenta,głębokość (cm),wysokość siedziska (cm),wysokość podłokietników (cm),wymiary,materiał klosza,materiał dodatkowy,szerokość [cm],wysokość [cm],głębokość [cm],typ źródła światła,moc maksymalna,strumień świetlny [lumen],barwa światła [kelvin],średnica klosza [cm],kolor klosza,długość przewodu [cm],materiał przewodu,regulacja wysokości,wysokość minimalna [cm],stopień ochrony ip,materiał podsufitki,szerokość podsufitki [cm],długość podsufitki [cm],produkt złożony,średnica podsufitki [cm],wysokość podsufitki [cm],kolor podsufitki,średnica [cm],kolor uzupełniający,wysokość klosza [cm],szerokość klosza [cm],dostępność kolorystyczna,cechy,zmiana temperatury barwowej,wysokość podstawy,długość produktu (cm),szerokość produktu (cm),wysokość produktu (cm),długość paczki (cm),szerokość paczki (cm),wysokość paczki (cm),odległość od ściany [cm],szerokość podstawy [cm],przeznaczenie/ zastosowanie,wymiary abażuru,materiał siedziska,wysokość siedzenia,głębokość całkowita,materiał nóg,podłokietniki,sztaplowane,przeznaczenie,maksymalne obciążenie,do samodzielnego montażu
LA001/W_steel_gray,uniwersalny,ALTAVOLA DESIGN,5902249031881,AMSTERDAM LOFT,Vintage,kinkiet,metal,stalowo szary,żarówka,BF-65,40W,E-27,barwa ciepła,1,230V / 230V,8 cm,14 cm,47 cm,tak,nie zawiera,IP 20,II,D,150 lm,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA001/W_rusty,uniwersalny,ALTAVOLA DESIGN,5902249030327,AMSTERDAM LOFT,Vintage,kinkiet,metal,rdzawy,żarówka,BF-65,40W,E-27,barwa ciepła,1,230V / 230V,8 cm,14 cm,47 cm,tak,nie zawiera,IP 20,II,D,,nie,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA029/P,uniwersalny,ALTAVOLA DESIGN,5902249030341,COPPER CHIC,Vintage,lampa wisząca,miedź,miedziany,żarówka,,60W,E14,delikatnie ciepła,1,230V / 230V,18 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,24 cm,19 cm,27 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF02,uniwersalny,ALTAVOLA DESIGN,5902249031560,Edison Bulb,Vintage,,Szkło,bursztynowy,żarówka,BF-02,40W,E-27,barwa ciepła,,230V / 230V,,,,tak,,IP 20,II,D,,,,,,,,76 mm,139 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF-19,uniwersalny,ALTAVOLA DESIGN,5902249030471,Edison Bulb,Vintage,,Szkło,bursztynowy,żarówka,BF-19,60W,E-27,barwa ciepła,,230V / 230V,,,14 cm,tak,nie zawiera,IP 20,II,D,290 lm,,,,,,,,,1,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF32,uniwersalny,ALTAVOLA DESIGN,5902249031522,Edison Bulb,Vintage,,Szkło,bursztynowy,żarówka,BF-32,40W,E-27,barwa ciepła,,230V / 230V,,,19 cm,tak,nie zawiera,IP 20,II,D,,,,,,,,,,,3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF65,uniwersalny,ALTAVOLA DESIGN,5902249030464,Edison Bulb,Vintage,,Szkło,bursztynowy,żarówka,BF-65,40W,E-27,barwa ciepła,,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,,,,,,,35 mm,300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF81,uniwersalny,ALTAVOLA DESIGN,5902249031362,Edison Bulb,Vintage,,Szkło,bursztynowy,żarówka,BF-81,40W,E-27,barwa ciepła,,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,,,,,,,80 mm,118 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA043/P,uniwersalny,ALTAVOLA DESIGN,5902249030181,EINDHOVEN LOFT,Industrial,lampa wisząca,Szkło,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,3,230V / 230V,45 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,19 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA009/P_D_yellow,uniwersalny,ALTAVOLA DESIGN,5902249031768,Modern Glass Bubble,Modern,lampa wisząca,Szkło,Żółty,żarówka,BF-02,40W,E-27,barwa ciepła,1,230V / 230V,25 cm,,150 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,29 cm,,,,,,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
