Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
00124/01/30;5411212000187;Lucide RUBEN - Flush ceiling light - 1xE27 - Black;1059;30.06.2022;;
00126/01/30;5411212010827;Lucide LUUK - Flush ceiling light - 1xE27 - Black;59;;;New Phase 2
00224/01/30;5411212000170;Lucide RUBEN - Wall light - 1xE27 - Black;300;30.06.2022;;
00424/01/30;5411212000156;Lucide RUBEN - Pendant light - 1xE27 - Black;435;01.06.2022;;
00424/04/30;5411212000163;Lucide RUBEN - Pendant light - 4xE27 - Black;153;22.04.2022;31.03.2022;
00425/01/30;5411212010797;Lucide FABIAN - Pendant light - 1xE27 - Black;228;01.06.2022;;
00425/04/30;5411212010803;Lucide FABIAN - Pendant light - 4xE27 - Black;425;;31.03.2022;
00425/06/30;5411212010810;Lucide FABIAN - Pendant light - 6xE27 - Black;51;;;New Phase 2
00426/04/30;5411212010834;Lucide LUUK - Pendant light - 4xE27 - Black;60;;;New Phase 2
00426/04/33;5411212108043;Lucide LUUK - Pendant light - 4xE27 - Green;40;;;New Phase 2
00524/01/30;5411212000194;Lucide RUBEN - Table lamp - 1xE27 - Black;285;30.06.2022;;
00724/03/30;5411212000200;Lucide RUBEN - Floor lamp - 3xE27 - Black;271;01.06.2022;22.04.2022;
00726/03/30;5411212010858;Lucide LUUK - Floor lamp - 3xE27 - Black;52;01.06.2022;;New Phase 2
01400/38/72;5411212010766;Lucide BODO - Pendant light - Ø 38 cm - 1xE27 - Light wood;67;05.06.2022;;
02400/30/17;5411212021755;Lucide VINTI - Pendant light - Ø 30 cm - 1xE27 - Copper;70;01.06.2022;;
02400/30/30;5411212021762;Lucide VINTI - Pendant light - Ø 30 cm - 1xE27 - Black;150;01.06.2022;;
02404/01/30;5411212021878;Lucide ORRIN - Pendant light - Ø 34 cm - 1xE27 - Black;0;15.05.2022;01.04.2022;
02404/02/30;5411212021885;Lucide ORRIN - Pendant light - Ø 34 cm - 2xE27 - Black;0;15.05.2022;01.04.2022;
02404/03/30;5411212021892;Lucide ORRIN - Pendant light - Ø 25 cm - 3xE27 - Black;38;;;
02405/26/30;5411212021915;Lucide ESMEE - Pendant light - Ø 26 cm - 1xE27 - Black;77;;;
02406/01/36;5411212021946;Lucide FIONA - Pendant light - Ø 25 cm - 1xE27 - Grey;68;;;
02504/01/30;5411212021908;Lucide ORRIN - Table lamp - Ø 25 cm - 1xE27 - Black;58;01.06.2022;;
02705/31/30;5411212021939;Lucide ESMEE - Floor lamp - Ø 31 cm - 1xE27 - Black;0;;;Liquidation
02807/04/30;5411212021960;Lucide JIVE - Table lamp Outdoor - Ø 13,9 cm - LED Dim. - 1x4W 6500K - IP44 - Black;0;01.06.2022;;New Phase 1
02807/04/31;5411212021977;Lucide JIVE - Table lamp Outdoor - Ø 13,9 cm - LED Dim. - 1x4W 6500K - IP44 - White;0;01.06.2022;;New Phase 1
03129/42/30;5411212031143;Lucide MAGIUS - Flush ceiling light - Ø 42 cm - 1xE27 - Light wood;100;10.07.2022;;
03133/01/02;5411212031396;Lucide AGATHA - Flush ceiling light - Ø 18 cm - 1xE27 - Matt Gold / Brass;47;;;
03134/01/62;5411212031402;Lucide ROSALIND - Flush ceiling light - Ø 21 cm - 1xE27 - Amber;108;;01.05.2022;
03134/01/65;5411212031419;Lucide ROSALIND - Flush ceiling light - Ø 21 cm - 1xE27 - Smoke Grey;100;;;
03135/56/30;5411212031440;Lucide MAGALI - Flush ceiling light - Ø 56 cm - 1xE27 - Black;38;;29.04.2022;
03135/56/72;5411212031457;Lucide MAGALI - Flush ceiling light - Ø 56 cm - 1xE27 - Light wood;69;01.05.2022;29.04.2022;
03140/18/61;5411212031570;Lucide LORENA - Flush ceiling light Bathroom - Ø 18 cm - 1xE27 - IP44 - Opal;0;;;New Phase 2
03140/18/62;5411212031587;Lucide LORENA - Flush ceiling light Bathroom - Ø 18 cm - 1xE27 - IP44 - Amber;0;;;New Phase 2
03140/18/65;5411212031594;Lucide LORENA - Flush ceiling light Bathroom - Ø 18 cm - 1xE27 - IP44 - Smoke Grey;0;;;New Phase 2
03140/23/61;5411212031600;Lucide LORENA - Flush ceiling light Bathroom - Ø 23 cm - 1xE27 - IP44 - Opal;0;;;New Phase 2
03140/23/62;5411212031617;Lucide LORENA - Flush ceiling light Bathroom - Ø 23 cm - 1xE27 - IP44 - Amber;0;;;New Phase 2
03140/23/65;5411212031624;Lucide LORENA - Flush ceiling light Bathroom - Ø 23 cm - 1xE27 - IP44 - Smoke Grey;0;;;New Phase 2
03142/35/02;5411212031709;Lucide EXTRAVAGANZA FRILLS - Flush ceiling light - Ø 35 cm - 1xE27 - Matt Gold / Brass;0;05.07.2022;;New Phase 1
03213/01/41;5411212030887;Lucide POSSIO - Wall light - 1xE14 - Taupe;435;;;
03229/01/30;5411212031174;Lucide MAGIUS - Wall light - 1xE27 - Light wood;0;;01.05.2022;
03322/01/30;5411212031037;Lucide SELIN - Pendant light - Ø 35 cm - 1xGU10 - Black;46;;;
03322/01/37;5411212031044;Lucide SELIN - Pendant light - Ø 35 cm - 1xGU10 - Turquoise;55;;;
03413/05/41;5411212030726;Lucide POSSIO - Pendant light - 5xE14 - Taupe;67;;;
03414/40/30;5411212030757;Lucide ETERNAL - Pendant light - Ø 40 cm - 1xE27 - Grey;73;;;
03414/40/31;5411212030764;Lucide ETERNAL - Pendant light - Ø 40 cm - 1xE27 - White;318;;;
03414/40/68;5411212030771;Lucide ETERNAL - Pendant light - Ø 40 cm - 1xE27 - Pastel Blue;209;;;
03423/48/30;5411212031099;Lucide SAAR - Pendant light - Ø 48 cm - 1xE27 - Black;0;;;Liquidation
03429/03/30;5411212031693;Lucide MAGIUS - Pendant light - 3xE27 - Light wood;57;;;
03429/42/30;5411212031204;Lucide MAGIUS - Pendant light - Ø 42 cm - 1xE27 - Light wood;102;;;
03431/38/30;5411212031211;Lucide ELGIN - Pendant light - Ø 38 cm - 3xG9 - Black;0;;;Liquidation
03431/38/66;5411212031228;Lucide ELGIN - Pendant light - Ø 38 cm - 3xG9 - Pink;91;;;
03433/01/02;5411212031372;Lucide AGATHA - Pendant light - Ø 18 cm - 1xE27 - Matt Gold / Brass;112;01.06.2022;;
03433/03/02;5411212031389;Lucide AGATHA - Pendant light - Ø 35 cm - 3xE27 - Matt Gold / Brass;85;10.07.2022;;
03435/56/30;5411212031426;Lucide MAGALI - Pendant light - Ø 56 cm - 1xE27 - Black;80;;;
03435/56/72;5411212031433;Lucide MAGALI - Pendant light - Ø 56 cm - 1xE27 - Light wood;63;;;
03436/40/30;5411212031464;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Black;64;;;
03436/40/33;5411212031471;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Green;64;;;
03436/40/44;5411212031488;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Ocher Yellow;42;;01.05.2022;
03437/40/44;5411212031495;Lucide MOLOKO - Pendant light - Ø 40 cm - 1xE27 - Ocher Yellow;72;;01.05.2022;
03437/60/44;5411212031501;Lucide MOLOKO - Pendant light - Ø 65 cm - 1xE27 - Ocher Yellow;142;;;
03438/35/30;5411212031518;Lucide ALBAN - Pendant light - Ø 35 cm - 1xE27 - Black;73;;01.05.2022;
03438/35/72;5411212031525;Lucide ALBAN - Pendant light - Ø 35 cm - 1xE27 - Light wood;41;;01.05.2022;
03440/01/72;5411212031679;Lucide JANTINE - Pendant light - Ø 26 cm - 1xE27 - Light wood;58;;;
03442/40/02;5411212031716;Lucide EXTRAVAGANZA FRILLS - Pendant light - Ø 40 cm - 1xE27 - Matt Gold / Brass;0;05.07.2022;;New Phase 1
03442/42/02;5411212031723;Lucide EXTRAVAGANZA FRILLS - Pendant light - Ø 42 cm - 1xE27 - Matt Gold / Brass;0;05.07.2022;;New Phase 1
03516/01/30;5411212030832;Lucide BELI - Table lamp - Ø 12 cm - 1xE27 - Black;81;10.07.2022;;
03520/01/62;5411212030993;Lucide CHARLIZE - Table lamp - Ø 23 cm - 1xE27 - Amber;72;;;
03520/01/65;5411212031006;Lucide CHARLIZE - Table lamp - Ø 23 cm - 1xE27 - Smoke Grey;69;;;
03521/01/10;5411212031013;Lucide LONE - Table lamp - Ø 12 cm - 1xG9 - Gold;135;;;
03521/01/30;5411212031020;Lucide LONE - Table lamp - Ø 12 cm - 1xG9 - Black;132;;;
03522/01/30;5411212031105;Lucide SELIN - Table lamp - Ø 6 cm - 1xE27 - Black;45;;;
03522/01/37;5411212031112;Lucide SELIN - Table lamp - Ø 6 cm - 1xE27 - Turquoise;56;;;
03525/01/30;5411212031129;Lucide LESLEY - Desk lamp - 1xGU10 - Black;96;10.07.2022;;
03526/01/33;5411212031242;Lucide EXTRAVAGANZA GOBLETT - Table lamp - 1xE27 - Green;39;;;
03527/01/62;5411212031259;Lucide EXTRAVAGANZA BELLISTER - Table lamp - Ø 13 cm - 1xG9 - Amber;81;;;
03528/01/65;5411212031563;Lucide LISTELLE - Table lamp - Ø 28 cm - 1xE27 - Smoke Grey;37;;;
