"Item number","Product name (English)",Category,"Web category",Colli,box,"Country of origin","Related products","Last updated",Status,Inventory,"Inventory incl. future deliveries","Date available","Must be assembled","Master box length (cm)","Master box width (cm)","Master box height (cm)","Product box length (cm)","Product box width (cm)","Product box height (cm)",CBM,"CBM - Product","Suitable for package shipment","Wholesale price (EUR)","Retail price (EUR)",EAN,Materials,FSC,Colour,Size,"Net weight (g)","Gross weight (g)","Wattage (W)",Socket,"CE approved","CCC approved","Longevity (hrs)",Kelvin,"Cable length (cm)",Dimmable,"Incl. Bulb",Battery,"Image URL",Packshots01,Packshots02,Packshots03,Packshots04,Packshots05,Packshots06,Packshots07,Packshots08,Packshots09,Packshots10,Close-ups01,Close-ups02,Close-ups03,Close-ups04,Close-ups05,Close-ups06,Close-ups07,Close-ups08,Close-ups09,Close-ups10,Styleshots01,Styleshots02,Styleshots03,Styleshots04,Styleshots05,Styleshots06,Styleshots07,Styleshots08,Styleshots09,Styleshots10,"Plug type",Connection,"Link - CE certificate",Diameter
011201,"Arch Dining Chair Black","General,Chairs,Furniture,Wood","Seating - Dining chairs",4,4,China,"011202,011203,020504","31.01.2022 23:05","To be discontinued",196,196,31.01.2022,Yes,82,52,52,82,52,52,"0,222","0,055",Yes,"120,00","290,00",5712772100639,"Ash wood,Iron",Yes,Black,"42x46xh81cm ",6.000,7.000,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/011201.jpg,https://images.hubsch-interior.com/images/011201.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw22_015.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_168.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_012.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_166.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_160.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_068.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_142.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_055.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_074.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_155.jpg,,,,0
020601,"Norm Planter Black",General,"Pottery & Watering cans - Planters",2,1,China,"020602,880824","31.01.2022 23:05",Active,491,491,31.01.2022,Yes,73,28,31,73,28,31,"0,063","0,063",Yes,"120,00","290,00",5712772064528,Iron,No,Black,70x28xh76cm,9.000,10.000,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020601.jpg,https://images.hubsch-interior.com/images/020601.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_386.jpg,,,,,,,,,,,,,0
020602,"Norm Planter Grey",General,"Pottery & Watering cans - Planters",2,1,China,020601,"31.01.2022 23:05","To be discontinued",75,75,31.01.2022,Yes,73,28,31,73,28,31,"0,063","0,063",Yes,"120,00","290,00",5712772064511,Iron,No,Grey,70x28xh76cm,10.000,11.000,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020602.jpg,https://images.hubsch-interior.com/images/020602.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_390.jpg,,,,,,,,,,,,,0
020605,"Eyrie Console Table Small Black","Furniture,General,Tables","Tables - Console tables",2,1,China,"020604,020606,020607,020806","31.01.2022 23:05",Active,274,283,31.01.2022,Yes,90,31,21,90,31,21,"0,059","0,059",Yes,"110,00","260,00",5712772064467,Iron,No,Black,40x30xh93cm,7.100,8.300,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020605.jpg,https://images.hubsch-interior.com/images/020605.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_484.jpg,,,,,,,,,,,,,0
020607,"Eyrie Console Table Large Black","General,Furniture,Tables","Tables - Console tables",2,1,China,"020603,020604,020605,020606","31.01.2022 23:05",Active,64,264,31.01.2022,Yes,101,31,25,101,31,25,"0,078","0,078",Yes,"150,00","360,00",5712772064450,Iron,No,Black,100x30xh93cm,13.070,14.300,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020607.jpg,https://images.hubsch-interior.com/images/020607.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_422.jpg,https://images.hubsch-interior.com/images/hubsch_ss19_341.jpg,,,,,,,,,,,,0
020608,"Edge Cabinet Double","General,Furniture","Shelf units & storage - Display cabinets",1,1,China,"020609,020801","31.01.2022 23:05",Active,340,340,31.01.2022,Yes,128,105,15,128,105,15,"0,202","0,202",Yes,"445,00","979,00",5712772064399,Iron,No,Black,100x45xh150cm,40.500,44.500,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020608.jpg,https://images.hubsch-interior.com/images/020608.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_325.jpg,https://images.hubsch-interior.com/images/hubsch_ss19_417.jpg,,,,,,,,,,,,0
020609,"Edge Cabinet Single","Furniture,General","Shelf units & storage - Display cabinets",1,1,China,"020608,020801","31.01.2022 23:05",Active,162,162,31.01.2022,Yes,128,54,18,128,54,18,"0,124","0,124",Yes,"265,00","640,00",5712772064405,Iron,No,Black,50x45xh150cm,23.800,27.300,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020609.jpg,https://images.hubsch-interior.com/images/020609.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_450.jpg,,,,,,,,,,,,,0
020612,"Pond Table White","General,Furniture,Tables","Tables - Coffee tables",2,1,China,"670207,670320,670321,930402,930404","31.01.2022 23:05",Active,0,321,20.02.2022,Yes,90,85,12,90,85,12,"0,092","0,092",Yes,"205,00","490,00",5712772064436,Iron,No,"Brass,White",ø80xh45cm,12.150,13.150,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020612.jpg,https://images.hubsch-interior.com/images/020612.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_499.jpg,,,,,,,,,,,,,80
020621,"Norm Shelf Single Small Ash/Black","General,Wood","Shelf units & storage - Shelf units,Tables - Console tables",2,1,China,"020701,880905,930403","31.01.2022 23:05","To be discontinued",1,1,31.01.2022,Yes,124,44,12,124,44,12,"0,065","0,065",Yes,"120,00","290,00",5712772064481,"Ash wood",No,Black,120x40xh90cm,15.750,17.650,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020621.jpg,,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss19_430.jpg,,,,,,,,,,,,,0
020621F,"Norm Shelf Single Small","General,Wood","Shelf units & storage - Shelf units",2,1,China,"020701, 880905, 930403","31.01.2022 23:05",Active,0,281,21.02.2022,Yes,124,44,12,124,44,12,"0,065","0,065",Yes,"135,00","320,00",5712772118030,"Ash wood",Yes,Black,120x40xh90cm,15.000,16.000,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/020621F.jpg,https://images.hubsch-interior.com/images/020621F.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
