ID,EAN,Nazwa,Pe³ny symbol artyku³u,Promocja,Stan magazynowy,Cena detaliczna netto,VAT,Cena detaliczna brutto,Koniec serii,Data aktualizacji
29508,"5900644316275","Alamo ","PND-280110130-12A-MBL","","0,00","1534,15","0,23","1887,00","",Oct  7 2021  1:16PM
29509,"5900644316282","Alamo ","PND-280110130-21B-MBL","","6,00","2765,85","0,23","3402,00","",Oct  7 2021  1:16PM
29510,"5900644316299","Alamo ","PND-280110130-21C-MBL","","7,00","2782,11","0,23","3422,00","",Oct  7 2021  1:16PM
29408,"5900644315407","Almodovi ","PND-11532-5-BL","","30,00","308,13","0,23","379,00","",Oct  7 2021  1:16PM
29401,"5900644315346","Atlantico ","PNC-5679-6-BL","","0,00","178,05","0,23","219,00","",Oct  7 2021  1:16PM
29402,"5900644315353","Atlantico ","PNC-5679-6-GD","","0,00","227,64","0,23","280,00","",Oct  7 2021  1:16PM
31122,"5900644319214","Belmonte ","PND-9152-4-OPAL","","0,00","392,68","0,23","483,00","t",Oct  7 2021  1:16PM
29285,"5900644314653","Boniva ","SPL-2854-1B-BL","","30,00","105,69","0,23","130,00","",Oct  7 2021  1:16PM
29284,"5900644314646","Boniva ","SPL-2854-1B-WH","","30,00","105,69","0,23","130,00","",Oct  7 2021  1:16PM
29283,"5900644314639","Boniva ","SPL-2854-1-SC-BL","","30,00","105,69","0,23","130,00","",Oct  7 2021  1:16PM
29282,"5900644314622","Boniva ","SPL-2854-1-SC-WH","","30,00","105,69","0,23","130,00","",Oct  7 2021  1:16PM
29287,"5900644314677","Boniva ","SPL-2854-2B-BL","","30,00","196,75","0,23","242,00","",Oct  7 2021  1:16PM
29286,"5900644314660","Boniva ","SPL-2854-2B-WH","","30,00","196,75","0,23","242,00","",Oct  7 2021  1:16PM
29289,"5900644314691","Boniva ","SPL-2854-3B-BL","","30,00","291,87","0,23","359,00","",Oct  7 2021  1:16PM
29288,"5900644314684","Boniva ","SPL-2854-3B-WH","","30,00","291,87","0,23","359,00","",Oct  7 2021  1:16PM
29291,"5900644314714","Boniva ","SPL-2854-4B-BL","","30,00","386,18","0,23","475,00","",Oct  7 2021  1:16PM
29290,"5900644314707","Boniva ","SPL-2854-4B-WH","","30,00","386,18","0,23","475,00","",Oct  7 2021  1:16PM
28519,"5900644314462","Borgo ","PND-30843-6 BK+SG","","30,00","475,61","0,23","585,00","",Oct  7 2021  1:16PM
28520,"5900644314479","Borgo ","PND-30843-6 GD+AMB","","30,00","547,97","0,23","674,00","",Oct  7 2021  1:16PM
28521,"5900644314486","Borgo ","PND-30843-8 BK+SG","","30,00","638,21","0,23","785,00","",Oct  7 2021  1:16PM
28522,"5900644314493","Borgo ","PND-30843-8 GD+AMB","","30,00","678,86","0,23","835,00","",Oct  7 2021  1:16PM
28517,"5900644314448","Borgo ","WL-30843-1 BK+SG","","30,00","83,74","0,23","103,00","",Oct  7 2021  1:16PM
28518,"5900644314455","Borgo ","WL-30843-1 GD+AMB","","30,00","83,74","0,23","103,00","",Oct  7 2021  1:16PM
29263,"5900644315032","Calasa ","SPL-9372-1A BL","","30,00","68,29","0,23","84,00","",Oct  7 2021  1:16PM
29262,"5900644315025","Calasa ","SPL-9372-1A WH","","30,00","68,29","0,23","84,00","",Oct  7 2021  1:16PM
29265,"5900644315056","Calasa ","SPL-9372-2A BL","","30,00","122,76","0,23","150,99","",Oct  7 2021  1:16PM
29264,"5900644315049","Calasa ","SPL-9372-2A WH","","30,00","122,76","0,23","150,99","",Oct  7 2021  1:16PM
29267,"5900644315070","Calasa ","SPL-9372-3A BL","","30,00","172,36","0,23","212,00","",Oct  7 2021  1:16PM
29266,"5900644315063","Calasa ","SPL-9372-3A WH","","30,00","172,36","0,23","212,00","",Oct  7 2021  1:16PM
28412,"5900644314370","Cristina ","PND-6706-5","","30,00","185,37","0,23","228,01","",Oct  7 2021  1:16PM
28413,"5900644314387","Cristina ","PND-6706-8","","30,00","295,94","0,23","364,01","",Oct  7 2021  1:16PM
28411,"5900644314363","Cristina ","WL-6706-1","","30,00","52,85","0,23","65,01","",Oct  7 2021  1:16PM
29398,"5900644315315","Erimida ","PND-2244-8A-BL","","0,00","308,13","0,23","379,00","",Oct  7 2021  1:16PM
29399,"5900644315322","Erimida ","PND-2244-8A-GD","","0,00","391,87","0,23","482,00","",Oct  7 2021  1:16PM
29521,"5900644316350","Ferlena ","PND-28343-1","","30,00","135,77","0,23","167,00","",Oct  7 2021  1:16PM
29520,"5900644316343","Ferlena ","PND-28343-5","","30,00","438,21","0,23","539,00","",Oct  7 2021  1:16PM
29522,"5900644316367","Ferlena ","PND-28343-5A","","30,00","422,76","0,23","519,99","",Oct  7 2021  1:16PM
29523,"5900644316381","Ferlena ","TB-28343-1","","22,00","173,98","0,23","214,00","",Oct  7 2021  1:16PM
29519,"5900644316329","Ferlena ","WL-28343-1","","30,00","86,18","0,23","106,00","",Oct  7 2021  1:16PM
29400,"5900644315339","Ferreia ","PND-5986-6-BL","","30,00","198,37","0,23","244,00","",Oct  7 2021  1:16PM
29534,"5900644316534","Frontera ","PND-40423-10","","20,00","565,85","0,23","696,00","",Oct  7 2021  1:16PM
29535,"5900644316589","Frontera ","PND-40423-10A","","14,00","604,07","0,23","743,01","",Oct  7 2021  1:16PM
29536,"5900644316596","Frontera ","PND-40423-7","","28,00","438,21","0,23","539,00","",Oct  7 2021  1:16PM
29537,"5900644316633","Frontera ","PND-40423-7A","","30,00","468,29","0,23","576,00","",Oct  7 2021  1:16PM
29518,"5900644316312","Galvez ","PND-28622-10A","","30,00","634,15","0,23","780,00","",Oct  7 2021  1:16PM
29517,"5900644316305","Galvez ","PND-28622-8A","","30,00","522,76","0,23","642,99","",Oct  7 2021  1:16PM
29495,"5900644315902","Huelto ","PND-22112132-1A-CHPN","","30,00","271,54","0,23","333,99","",Oct  7 2021  1:16PM
29494,"5900644315896","Huelto ","PND-22112132-1A-CR","","19,00","260,98","0,23","321,01","",Oct  7 2021  1:16PM
29497,"5900644315926","Huelto ","PND-22112132-5A-CHPN","","16,00","1230,89","0,23","1513,99","",Oct  7 2021  1:16PM
29496,"5900644315919","Huelto ","PND-22112132-5A-CR","","21,00","1173,17","0,23","1443,00","",Oct  7 2021  1:16PM
29499,"5900644315964","Huelto ","WL-22112132-1A-CHPN","","30,00","291,06","0,23","358,00","",Oct  7 2021  1:16PM
29498,"5900644315940","Huelto ","WL-22112132-1A-CR","","30,00","271,54","0,23","333,99","",Oct  7 2021  1:16PM
29307,"5900644314851","Laconi ","SPL-2813-1B-BL","","30,00","82,93","0,23","102,00","",Oct  7 2021  1:16PM
29306,"5900644314844","Laconi ","SPL-2813-1B-WH","","30,00","82,93","0,23","102,00","",Oct  7 2021  1:16PM
29309,"5900644314875","Laconi ","SPL-2813-2B-BL","","30,00","162,60","0,23","200,00","",Oct  7 2021  1:16PM
29308,"5900644314868","Laconi ","SPL-2813-2B-WH","","0,00","162,60","0,23","200,00","",Oct  7 2021  1:16PM
29311,"5900644314899","Laconi ","SPL-2813-3B-BL","","30,00","243,09","0,23","299,00","",Oct  7 2021  1:16PM
29310,"5900644314882","Laconi ","SPL-2813-3B-WH","","0,00","243,09","0,23","299,00","",Oct  7 2021  1:16PM
29313,"5900644314912","Laconi ","SPL-2813-4B-BL","","1,00","324,39","0,23","399,00","",Oct  7 2021  1:16PM
29312,"5900644314905","Laconi ","SPL-2813-4B-WH","","0,00","324,39","0,23","399,00","",Oct  7 2021  1:16PM
29315,"5900644314936","Laconi ","SPL-2846-1SC-BL","","30,00","78,86","0,23","97,00","",Oct  7 2021  1:16PM
29314,"5900644314929","Laconi ","SPL-2846-1SC-WH","","30,00","78,86","0,23","97,00","",Oct  7 2021  1:16PM
29487,"5900644315858","Levington ","WL-1154-1-BL","","0,00","581,30","0,23","715,00","",Oct  7 2021  1:16PM
29486,"5900644315841","Levington ","WL-1154-1-GD","","15,00","670,73","0,23","825,00","",Oct  7 2021  1:16PM
28406,"5900644314318","Lugano ","PND-5643-3","","30,00","113,82","0,23","140,00","",Oct  7 2021  1:16PM
28405,"5900644314301","Lugano ","PND-5643-5","","30,00","176,42","0,23","217,00","",Oct  7 2021  1:16PM
28407,"5900644314325","Lugano ","WL-5643-1","","30,00","56,91","0,23","70,00","",Oct  7 2021  1:16PM
29327,"5900644315216","Lumsi ","SPL-2071-1-MC-BL","","30,00","55,28","0,23","67,99","",Oct  7 2021  1:16PM
29326,"5900644315209","Lumsi ","SPL-2071-1-MC-WH","","17,00","55,28","0,23","67,99","",Oct  7 2021  1:16PM
29329,"5900644315230","Lumsi ","SPL-2071-2-MB-BL","","0,00","99,19","0,23","122,00","",Oct  7 2021  1:16PM
29328,"5900644315223","Lumsi ","SPL-2071-2-MB-WH","","28,00","99,19","0,23","122,00","",Oct  7 2021  1:16PM
29332,"5900644315254","Lumsi ","SPL-2071-3-MB-BL","","30,00","143,90","0,23","177,00","",Oct  7 2021  1:16PM
