Supplier ID|Item Number|Qty On Hand|Qty Backordered|Qty On Order|Item Next Availability Date|Item Discontinued|Item Description
MLG|100008|0|0|0||0|MELLERUD Wall 2L Chrome IP44
MLG|100010|0|0|0||0|SIGTUNA Wall 1L Chrome/White IP44
MLG|100012|0|0|0||0|SIGTUNA Wall 2L Chrome/White IP44
MLG|100099|0|0|0||0|MOSSEBO Floor 2L Br. Steel
MLG|100100|0|0|0||0|MOSSEBO Floor 2L Black Chrome
MLG|100196|0|0|0||0|TROSA Plafond 28 Round Chrome IP44
MLG|100241|14|0|0||0|ODENSE Floor 1L Steel
MLG|100247|0|0|0||0|ODENSE Floor 1L Oxide
MLG|100295|0|0|0||0|VERA Gate Grey
MLG|100399|0|0|0||0|MATILDA Wall Grey
MLG|100486|0|0|0|12/20/2021|0|HANASKOG Plafond 30cm Gold/MC
MLG|100510|105|0|0||0|ROSENDAL Plafond 4L Gold/MC
MLG|100511|283|0|0||0|ROSENDAL Plafond 4L Chrome/MC
MLG|100524|113|0|0||0|ROSENDAL Pendant 3L Gold/MC
MLG|100525|162|0|0||0|ROSENDAL Pendant 3L Chrome/MC
MLG|100532|57|0|0||0|ROSENDAL Pendant 6L Gold/MC
MLG|100533|114|0|0||0|ROSENDAL Pendant 6L Chrome/MC
MLG|100538|52|0|0||0|ROSENDAL Plafond 3L Gold/MC
MLG|100539|74|0|0||0|ROSENDAL Plafond 3L Chrome/MC
MLG|100542|0|0|0||0|ROSENDAL Plafond 1L Chrome/MC IP21
MLG|100558|17|0|0||0|KRONOVALL Chandelier 6L Antique/Brilliant
MLG|100591|99|0|0||0|RYHOLM Crown 3L Antique/MC
MLG|100602|160|0|0||0|KRAGEHOLM Chandelier 3L Antique/MC
MLG|100613|234|0|0||0|STRÖMSHOLM Plafond 3L Antique/MC
MLG|100618|92|0|0||0|HOVDALA Plafond 48cm Antique/MC
MLG|100642|0|0|0||0|LÄCKÖ Crown 6L Antique/Brilliant
MLG|100649|27|0|0||0|LÄCKÖ Crown 7L Antique/Brilliant
MLG|100659|7|0|0||0|LÄCKÖ Crown 9L Antique/Brilliant
MLG|100667|4|0|0||0|LÄCKÖ Crown 15L Antique/Brilliant
MLG|100852|107|0|0||0|FAGERNES Table 1L White with Magnifying Glass
MLG|100856|0|0|0||0|STORÅ Table 1L White with Magnyfying Glass
