"EAN code";"article number";"availability";"next expected arrival"
"5998250310169";"1016";"available";"2022-07-20"
"5998250310176";"1017";"0";"2022-04-20"
"5998250310466";"1046";"available";"2022-08-25"
"5998250310473";"1047";"available";"2022-08-25"
"5998250310480";"1048";"available";"2022-08-25"
"5998250310497";"1049";"available";"2022-02-03"
"5998250310503";"1050";"available";"2022-08-25"
"5998250310510";"1051";"available";"2022-02-03"
"5998250310527";"1052";"available";""
"5998250310534";"1053";"available";""
"5998250310541";"1054";"available";""
"5998250310558";"1055";"available";"2022-02-03"
"5998250310565";"1056";"available";""
"5998250310572";"1057";"available";""
"5998250310725";"1072";"available";""
"5998250310787";"1078";"available";""
"5998250310794";"1079";"available";""
"5998250310800";"1080";"available";""
"5998250310879";"1087";"available";"2022-04-20"
"5998250310886";"1088";"available";"2022-04-20"
"5998250310893";"1089";"0";"2022-04-20"
"5998250310909";"1090";"available";"2022-04-20"
"5998250310916";"1091";"available";"2022-02-03"
"5998250310923";"1092";"available";"2022-08-25"
"5998250310930";"1093";"available";"2022-02-03"
"5998250310954";"1095";"available";"2022-08-25"
"5998250310985";"1098";"available";""
"5998250310992";"1099";"0";""
"5998250311005";"1100";"available";""
"5998250311166";"1116";"available";""
"5998250311173";"1117";"available";""
"5998250311203";"1120";"available";"2022-02-02"
"5998250311470";"1147";"available";""
"5998250311487";"1148";"available";""
"5998250311593";"1159";"0";""
"5998250311609";"1160";"available";""
"5998250311630";"1163";"available";"2022-08-25"
"5998250311661";"1166";"available";"2022-08-25"
"5998250312989";"1298";"0";"2022-03-20"
"5998250312996";"1299";"0";"2022-03-20"
"5998250313016";"1301";"0";"2022-02-25"
"5998250313023";"1302";"available";"2022-02-25"
"5998250313313";"1331";"available";""
"5998250313320";"1332";"available";""
"5998250313382";"1338";"available";""
"5998250313580";"1358";"0";"2022-04-20"
"5998250313597";"1359";"available";""
"5998250313818";"1381";"available";""
"5998250313825";"1382";"available";""
"5998250313993";"1399";"0";"2022-03-20"
"5998250314006";"1400";"7";"2022-03-20"
"5998250314075";"1407";"available";""
"5998250314082";"1408";"available";""
"5998250314099";"1409";"available";""
"5998250314112";"1411";"0";"2022-02-03"
"5998250314129";"1412";"available";"2022-02-21"
"5998250314136";"1413";"available";""
"5998250314143";"1414";"available";""
"5998250314150";"1415";"available";""
"5998250314167";"1416";"available";""
"5998250314174";"1417";"0";"2022-02-21"
"5998250314181";"1418";"available";"2022-02-03"
"5998250314198";"1419";"available";""
"5998250314204";"1420";"0";"2022-04-20"
"5998250314211";"1421";"available";""
"5998250314228";"1422";"available";""
"5998250314235";"1423";"available";""
"5998250314266";"1426";"available";"2022-03-03"
"5998250314273";"1427";"available";"2022-03-03"
"5998250314280";"1428";"available";""
"5998250314297";"1429";"available";""
"5998250314303";"1430";"1";"2022-03-07"
"5998250314310";"1431";"available";""
"5998250314327";"1432";"available";""
"5998250314334";"1433";"available";""
"5998250314341";"1434";"available";""
"5998250314358";"1435";"available";""
"5998250314365";"1436";"1";""
"5998250314372";"1437";"available";""
"5998250314389";"1438";"available";""
"5998250314396";"1439";"available";""
"5998250314402";"1440";"available";""
"5998250314419";"1441";"available";""
"5998250314426";"1442";"available";"2022-02-22"
"5998250314433";"1443";"0";""
"5998250314440";"1444";"available";""
"5998250314457";"1445";"available";""
"5998250314464";"1446";"available";""
"5998250314471";"1447";"available";""
"5998250314488";"1448";"0";"2022-02-07"
"5998250314495";"1449";"0";"2022-02-07"
"5998250314501";"1450";"0";"2022-04-20"
"5998250314518";"1451";"0";"2022-04-20"
"5998250314525";"1452";"0";"2022-04-20"
"5998250314532";"1453";"0";"2022-04-20"
"5998250314549";"1454";"available";""
"5998250314556";"1455";"0";"2022-04-20"
"5998250314570";"1457";"1";""
"5998250314587";"1458";"available";""
"5998250314594";"1459";"0";""
"5998250314600";"1460";"available";""
"5998250314617";"1461";"0";""
"5998250314624";"1462";"available";""
"5998250314631";"1463";"available";""
"5998250314648";"1464";"available";""
"5998250314655";"1465";"available";""
"5998250314662";"1466";"available";""
"5998250314679";"1467";"available";""
"5998250314686";"1468";"available";""
"5998250314693";"1469";"available";""
"5998250314709";"1470";"available";""
"5998250314723";"1472";"available";""
"5998250314730";"1473";"available";""
"5998250314747";"1474";"available";""
"5998250314754";"1475";"available";""
"5998250314778";"1477";"available";"2022-05-20"
"5998250314785";"1478";"available";"2022-05-20"
"5998250314792";"1479";"available";""
"5998250314808";"1480";"available";"2022-08-25"
"5998250314815";"1481";"available";"2022-05-20"
"5998250314822";"1482";"available";""
"5998250314839";"1483";"0";"2022-03-20"
"5998250314846";"1484";"available";"2022-03-20"
"5998250314853";"1485";"available";""
"5998250314860";"1486";"available";""
"5998250314877";"1487";"available";""
"5998250314884";"1488";"available";""
"5998250314891";"1489";"available";""
"5998250314907";"1490";"available";""
"5998250314914";"1491";"available";""
"5998250314921";"1492";"available";""
"5998250314938";"1493";"available";""
"5998250314945";"1494";"available";""
"5998250314952";"1495";"available";""
"5998250314969";"1496";"available";"2022-06-20"
"5998250314976";"1497";"available";""
"5998250314983";"1498";"available";"2022-02-21"
"5998250315034";"1503";"0";""
"5998250315058";"1505";"0";""
"5998250315065";"1506";"0";""
"5998250315072";"1507";"available";"2022-03-16"
"5998250315089";"1508";"available";"2022-03-16"
"5998250315096";"1509";"available";""
"5998250315102";"1510";"available";""
"5998250315119";"1511";"available";""
"5998250315126";"1512";"available";""
"5998250315157";"1515";"available";""
"5998250315164";"1516";"available";"2022-03-07"
"5998250315171";"1517";"available";""
"5998250315188";"1518";"available";""
"5998250315195";"1519";"available";""
"5998250315249";"1524";"available";""
"5998250315256";"1525";"available";""
"5998250315263";"1526";"available";""
"5998250315270";"1527";"available";"2022-03-24"
"5998250315287";"1528";"available";""
"5998250315294";"1529";"available";""
"5998250315300";"1530";"available";"2022-08-25"
"5998250315317";"1531";"available";"2022-07-20"
"5998250315324";"1532";"available";""
"5998250315331";"1533";"available";"2022-03-24"
"5998250315348";"1534";"available";""
"5998250315362";"1536";"available";""
"5998250315379";"1537";"0";""
"5998250315386";"1538";"0";""
"5998250315393";"1539";"available";""
"5998250315409";"1540";"available";""
"5998250315416";"1541";"available";""
"5998250315423";"1542";"0";""
"5998250315430";"1543";"available";""
"5998250315447";"1544";"available";""
"5998250315454";"1545";"available";""
"5998250315461";"1546";"0";""
"5998250315478";"1547";"0";""
"5998250315508";"1550";"available";""
"5998250315515";"1551";"0";"2022-03-24"
"5998250315546";"1554";"available";""
"5998250315553";"1555";"available";""
"5998250315560";"1556";"7";""
"5998250315577";"1557";"0";""
"5998250315584";"1558";"0";""
"5998250315591";"1559";"0";""
"5998250315607";"1560";"0";""
"5998250315621";"1562";"available";""
"5998250315638";"1563";"available";""
"5998250315645";"1564";"available";""
"5998250315652";"1565";"available";""
"5998250315669";"1566";"available";""
"5998250315676";"1567";"available";""
"5998250315683";"1568";"available";""
"5998250315690";"1569";"available";""
"5998250315706";"1570";"available";""
"5998250315713";"1571";"available";""
"5998250315720";"1572";"available";""
"5998250315737";"1573";"available";""
"5998250315744";"1574";"available";"2022-05-20"
"5998250315751";"1575";"available";"2022-05-20"
"5998250315768";"1576";"available";"2022-05-20"
"5998250315775";"1577";"available";""
"5998250315782";"1578";"available";""
"5998250315799";"1579";"available";""
"5998250315805";"1580";"available";""
"5998250315812";"1581";"available";""
"5998250315829";"1582";"available";"2022-08-25"
"5998250315836";"1583";"available";"2022-03-24"
"5998250315843";"1584";"available";""
"5998250315850";"1585";"available";""
"5998250315867";"1586";"available";"2022-03-24"
"5998250315874";"1587";"available";"2022-03-24"
"5998250315881";"1588";"available";"2022-07-20"
"5998250315898";"1589";"available";"2022-05-20"
"5998250315904";"1590";"available";""
"5998250315911";"1591";"0";""
"5998250315928";"1592";"available";"2022-03-24"
"5998250315935";"1593";"available";"2022-08-25"
"5998250315942";"1594";"available";"2022-03-24"
"5998250315959";"1595";"available";"2022-03-24"
"5998250315966";"1596";"available";""
"5998250315980";"1598";"available";""
"5998250315997";"1599";"available";"2022-08-25"
"5998250316086";"1608";"available";""
"5998250316093";"1609";"available";""
"5998250316109";"1610";"available";""
"5998250316116";"1611";"available";""
"5998250316154";"1615";"available";"2022-05-20"
"5998250316185";"1618";"available";"2022-05-20"
"5998250316222";"1622";"available";""
"5998250316246";"1624";"available";""
"5998250316253";"1625";"available";""
"5998250316260";"1626";"available";""
"5998250316277";"1627";"available";""
"5998250316284";"1628";"available";""
"5998250316291";"1629";"available";""
"5998250316307";"1630";"available";""
"5998250316314";"1631";"available";""
"5998250316352";"1635";"available";"2022-08-25"
"5998250316383";"1638";"available";"2022-05-20"
"5998250316420";"1642";"available";""
"5998250316444";"1644";"0";"2022-03-20"
"5998250316451";"1645";"available";""
"5998250316475";"1647";"available";""
"5998250316482";"1648";"available";""
"5998250316499";"1649";"available";""
"5998250316505";"1650";"available";""
"5998250316512";"1651";"available";""
"5998250316529";"1652";"available";""
"5998250316536";"1653";"available";""
"5998250316550";"1655";"available";""
"5998250316567";"1656";"available";""
"5998250316574";"1657";"available";""
"5998250316581";"1658";"available";""
"5998250316598";"1659";"available";"2022-08-25"
"5998250316673";"1667";"available";""
"5998250316758";"1675";"available";""
"5998250316857";"1685";"available";""
"5998250316871";"1687";"available";"2022-05-20"
"5998250316895";"1689";"available";""
"5998250316901";"1690";"available";"2022-07-20"
"5998250316925";"1692";"available";"2022-03-24"
"5998250316932";"1693";"available";""
