Article;GTIN;Lifecycle;Freestock;2022-7;2022-8;2022-9
92479;4017807233315;35;845;845;845;845
200970124;4017807211832;30;151;151;151;151
207800100;4017807189148;30;614;614;614;614
216070124;4017807212228;40;850;850;850;850
2502211-07;4017807103908;30;353;353;353;353
2522011-06;4017807080797;30;523;523;523;823
2523011-01;4017807094756;30;467;467;467;767
2803021-06;4017807147599;30;942;942;942;942
2803031-06;4017807147605;30;707;707;785;785
601400106;4017807224580;40;820;820;820;820
602100100;4017807223569;40;377;377;377;377
602100200;4017807223576;40;270;270;270;270
605600307;4017807236996;30;325;325;325;325
605600507;4017807237009;30;224;224;224;224
607800100;4017807189216;30;381;381;381;381
608100224;4017807211795;30;128;128;128;128
608100324;4017807211788;30;98;98;98;98
6101011-01;4017807017557;30;1133;1133;1133;1133
6101011-07;4017807028393;30;960;960;960;960
6102021-24;4017807053296;30;103;103;103;103
6105011-01;4017807053968;30;860;860;860;1857
6105021-01;4017807098440;30;561;561;561;561
6107011-07;4017807028041;40;148;148;148;148
6107021-07;4017807080704;40;232;232;232;232
6160011-00;4017807131895;30;242;242;242;482
6196011-01;4017807138238;30;3547;3547;3547;3547
6196011-07;4017807138245;30;3180;3180;3180;3180
621410505;4017807220940;30;121;121;121;121
622713007;4017807226812;40;4;4;4;4
6801011-06;4017807147575;30;764;764;764;764
6801011-07;4017807147582;30;0;0;0;0
220060142;4017807241501;30;0;0;265;265
220060187;4017807241518;30;0;0;214;214
220060242;4017807241525;30;0;0;300;300
220060287;4017807241532;30;182;182;182;182
220160142;4017807241587;30;132;132;132;132
220260142;4017807241617;30;290;290;290;290
220360142;4017807241648;30;212;212;212;212
229160142;4017807242126;30;481;481;481;481
229360242;4017807242164;30;817;817;817;817
229360287;4017807242171;30;282;282;282;282
229160101;4017807243543;40;10;10;10;10
202400106;4017807244908;30;643;643;643;643
602400106;4017807244915;30;891;891;891;891
602400206;4017807244922;30;849;849;849;849
626510901;4017807245196;40;18;18;18;18
626510987;4017807245202;30;274;274;274;274
626511287;4017807245226;30;1038;1038;1038;1038
281570606;4017807245967;30;315;315;315;315
281570906;4017807245950;30;187;187;187;187
281770906;4017807246018;40;24;24;24;24
626512501;4017807246797;40;0;0;0;0
626512587;4017807246803;30;352;352;352;352
271170201;4017807247251;30;371;371;371;371
271170202;4017807247268;30;194;194;194;194
271170214;4017807247282;40;293;293;293;293
225210104;4017807256314;30;430;430;430;430
225210107;4017807256338;30;297;297;297;297
603900301;4017807256536;30;1802;1802;1802;1802
603900302;4017807256543;30;1200;1200;1200;1200
603900314;4017807256550;40;956;956;956;956
624830307;4017807257724;40;86;86;86;86
624830328;4017807257892;40;4;4;4;4
220810201;4017807258363;30;202;202;202;202
220810205;4017807258370;30;140;140;140;140
6801011-01;4017807259056;30;1179;1179;1179;1179
220760142;4017807259063;30;259;259;259;259
220960142;4017807259308;30;753;753;753;753
220960187;4017807259322;40;278;278;278;278
220969142;4017807259315;30;462;462;462;462
220969187;4017807259339;40;123;123;123;123
228960101;4017807259124;30;176;176;176;176
228960142;4017807259131;30;124;124;124;124
622811528;4017807262407;30;5;5;5;5
659611006;4017807267174;35;177;177;177;177
628915001;4017807272307;30;552;552;552;552
620160142;4017807274905;30;424;424;424;424
279770104;4017807275346;30;0;0;0;0
279770107;4017807275353;30;420;420;420;420
279770108;4017807275360;30;86;86;86;86
204700101;4017807276541;30;15;165;165;165
225510207;4017807277913;30;193;193;193;490
225610607;4017807277920;40;287;287;287;287
221169142;4017807279290;30;432;432;432;432
228760101;4017807279269;30;353;353;353;353
228760142;4017807279276;30;295;295;295;295
221269142;4017807279665;40;0;0;0;0
228260101;4017807279528;30;0;0;0;0
228260142;4017807279535;30;482;482;482;482
